project_name,phantoms_allocation,normalized_median_allocation,pure_median_allocation
Aave,115297.99454133182,122749.08505175007,112349.93956156528
Alchemix,2669.706396981451,1830.2424830648226,1675.186680769563
Biconomy,10672.65686329206,9983.95908193512,9138.130837941908
0x Protocol,289821.31827570737,306199.10122220556,280258.30499361374
CreateMyToken,0.270283884119696,0.21259461373670024,0.19458386996825972
Poster,1.4021253145580463,1.1308484501299452,1.0350444157838365
Loot2,16380.132799854875,16359.40593746389,14973.457990031475
Wombat Exchange,3726.638654821436,2838.599965585895,2598.117407055082
Ethereum Attestation Service (EAS),38843.77854382216,39902.63374190072,36522.1336465343
Wormhole Foundation,24346.75388957304,23632.18811095588,21630.099359633317
$ENJOY,37502.25187918891,37261.633764012644,34104.87580894857
/send,1254.8008199782682,1173.8236400703747,1074.3788025975425
3DNS,5669.63140446023,5394.942508718671,4937.889879481594
Account Abstraction - ERC-4337,222942.78494097956,192784.9151974125,176452.42375272582
Across Protocol,61882.278571717026,64927.74768257446,59427.151941136195
Aerodrome Finance,182879.71913982168,179961.70025145367,164715.57517616774
Alien Base,29126.310436174277,28079.36933909706,25700.521082046514
Ambire,121.64960373665774,96.54261879857853,88.36365161143733
Aragon,1670.8380387175737,1295.2815411104168,1185.5469456054545
Arcadia Finance,5254.76422364308,5029.679360264611,4603.571357795019
Archly,565.7921436717206,401.05216633275234,367.0755397445395
Astaria,3806.3070251949825,2025.8547877429517,1854.2269611824145
Aura Finance,7827.868237595003,7123.1627194394,6519.697484334134
Avantis,32705.849244923396,32106.33167145379,29386.324316068494
BLOCKS,33646.12671548175,33997.32484734667,31117.114968669513
BMX by Morphex,19899.120509957822,17393.562692368505,15920.00230734133
BSX,12420.755513313869,11835.042706889662,10832.393025716
Balancer,43132.17379805353,43610.6926005911,39916.050501303165
Base Runners,2022.0405374270786,805.293157256847,737.069750939532
Base on Rarible,3148.7538577676264,2783.126870753779,2547.3439218673616
BaseDoge,2195.97691338653,1053.7948792279387,964.5187248575579
